"sample","day","genotype","neuron","replicate"
"aa04264_yh_fk_d50_iN_HEXB_rep3",50,"HEXB","iN",3
"aa04265_yh_fk_d50_pool__9",50,NA,NA,NA
"aa04266_yh_fk_d50_iDA_ASAH1_rep1",50,"ASAH1","iDA",1
"aa04267_yh_fk_d50_iDA_CTSF_rep1",50,"CTSF","iDA",1
"aa04268_yh_fk_d50_iN_Ctrl_rep3",50,"ctrl","iN",3
"aa04269_yh_fk_d50_iN_GRN_rep3",50,"GRN","iN",3
"aa04270_yh_fk_d50_iDA_TPP1_rep2",50,"TPP1","iDA",2
"aa04271_yh_fk_d50_iN_CLN5_rep1",50,"CLN5","iN",1
"aa04272_yh_fk_d50_iN_ASAH1_rep1",50,"ASAH1","iN",1
"aa04273_yh_fk_d50_iN_NPC1_rep1",50,"NPC1","iN",1
"aa04274_yh_fk_d50_iN_PTT1_rep2",50,"PTT1","iN",2
"aa04275_yh_fk_d50_pool__10",50,NA,NA,NA
"aa04276_yh_fk_d50_iN_LIPA_rep3",50,"LIPA","iN",3
"aa04277_yh_fk_d50_iN_ASAH1_rep3",50,"ASAH1","iN",3
"aa04278_yh_fk_d50_iN_MCOLN1_rep3",50,"MCOLN1","iN",3
"aa04279_yh_fk_d50_iN_CTSF_rep2",50,"CTSF","iN",2
"aa04280_yh_fk_d50_iN_GBA1_rep3",50,"GBA1","iN",3
"aa04281_yh_fk_d50_iDA_SMPD1_rep3",50,"SMPD1","iDA",3
"aa04282_yh_fk_d50_iN_MCOLN1_rep1",50,"MCOLN1","iN",1
"aa04283_yh_fk_d50_iN_CTSD_rep2",50,"CTSD","iN",2
"aa04284_yh_fk_d50_iDA_CLN6_rep2",50,"CLN6","iDA",2
"aa04285_yh_fk_d50_pool__11",50,NA,NA,NA
"aa04286_yh_fk_d50_iDA_HEXA_rep2",50,"HEXA","iDA",2
"aa04287_yh_fk_d50_iDA_MFSD8_rep3",50,"MFSD8","iDA",3
"aa04288_yh_fk_d50_iDA_PTT1_rep1",50,"PTT1","iDA",1
"aa04289_yh_fk_d50_iDA_GRN_rep1",50,"GRN","iDA",1
"aa04290_yh_fk_d50_iN_SMPD1_rep3",50,"SMPD1","iN",3
"aa04291_yh_fk_d50_iDA_CLN8_rep1",50,"CLN8","iDA",1
"aa04292_yh_fk_d50_iDA_CTSF_rep2",50,"CTSF","iDA",2
"aa04293_yh_fk_d50_iDA_CTSD_rep1",50,"CTSD","iDA",1
"aa04294_yh_fk_d50_iN_DNAJC5_rep3",50,"DNAJC5","iN",3
"aa04295_yh_fk_d50_pool__12",50,NA,NA,NA
"aa04296_yh_fk_d50_iDA_PSAP_rep1",50,"PSAP","iDA",1
"aa04297_yh_fk_d50_iDA_DNAJC5_rep1",50,"DNAJC5","iDA",1
"aa04298_yh_fk_d50_iN_MCOLN1_rep2",50,"MCOLN1","iN",2
"aa04299_yh_fk_d50_iDA_GBA1_rep2",50,"GBA1","iDA",2
"aa04300_yh_fk_d50_iDA_HEXB_rep1",50,"HEXB","iDA",1
"aa04301_yh_fk_d50_iN_CTSF_rep3",50,"CTSF","iN",3
"aa04302_yh_fk_d50_iN_NPC2_rep1",50,"NPC2","iN",1
"aa04303_yh_fk_d50_iN_ATP13A2_rep1",50,"ATP13A2","iN",1
"aa04304_yh_fk_d50_iDA_CLN5_rep1",50,"CLN5","iDA",1
"aa04305_yh_fk_d50_pool__13",50,NA,NA,NA
"aa04306_yh_fk_d50_iN_CTSD_rep1",50,"CTSD","iN",1
"aa04307_yh_fk_d50_iDA_MCOLN1_rep1",50,"MCOLN1","iDA",1
"aa04308_yh_fk_d50_iDA_PSAP_rep3",50,"PSAP","iDA",3
"aa04309_yh_fk_d50_iN_PSAP_rep3",50,"PSAP","iN",3
"aa04310_yh_fk_d50_iN_ATP13A2_rep3",50,"ATP13A2","iN",3
"aa04311_yh_fk_d50_iN_NPC1_rep3",50,"NPC1","iN",3
"aa04312_yh_fk_d50_iN_CLN8_rep1",50,"CLN8","iN",1
"aa04313_yh_fk_d50_iDA_GRN_rep3",50,"GRN","iDA",3
"aa04314_yh_fk_d50_iDA_CTSF_rep3",50,"CTSF","iDA",3
"aa04315_yh_fk_d50_pool__14",50,NA,NA,NA
"aa04316_yh_fk_d50_iN_NPC2_rep3",50,"NPC2","iN",3
"aa04317_yh_fk_d50_iN_NPC2_rep2",50,"NPC2","iN",2
"aa04318_yh_fk_d50_iDA_GRN_rep2",50,"GRN","iDA",2
"aa04319_yh_fk_d50_iN_CLN6_rep3",50,"CLN6","iN",3
"aa04320_yh_fk_d50_iDA_CLN6_rep3",50,"CLN6","iDA",3
"aa04321_yh_fk_d50_iN_Ctrl_rep2",50,"ctrl","iN",2
"aa04322_yh_fk_d50_iDA_MCOLN1_rep3",50,"MCOLN1","iDA",3
"aa04323_yh_fk_d50_iN_LIPA_rep2",50,"LIPA","iN",2
"aa04324_yh_fk_d50_iN_CLN8_rep2",50,"CLN8","iN",2
"aa04325_yh_fk_d50_pool__15",50,NA,NA,NA
"aa04326_yh_fk_d50_iN_HEXA_rep2",50,"HEXA","iN",2
"aa04327_yh_fk_d50_iDA_GBA1_rep3",50,"GBA1","iDA",3
"aa04328_yh_fk_d50_iN_PSAP_rep1",50,"PSAP","iN",1
"aa04329_yh_fk_d50_iN_PTT1_rep3",50,"PTT1","iN",3
"aa04330_yh_fk_d50_iN_GRN_rep2",50,"GRN","iN",2
"aa04331_yh_fk_d50_iDA_ASAH1_rep3",50,"ASAH1","iDA",3
"aa04332_yh_fk_d50_iDA_TPP1_rep3",50,"TPP1","iDA",3
"aa04333_yh_fk_d50_iDA_MCOLN1_rep2",50,"MCOLN1","iDA",2
"aa04334_yh_fk_d50_iDA_NPC2_rep3",50,"NPC2","iDA",3
"aa04335_yh_fk_d50_pool__16",50,NA,NA,NA
"aa04336_yh_fk_d50_iDA_CLN3_rep3",50,"CLN3","iDA",3
"aa04337_yh_fk_d50_iN_DNAJC5_rep2",50,"DNAJC5","iN",2
"aa04338_yh_fk_d50_iDA_CLN5_rep3",50,"CLN5","iDA",3
"aa04339_yh_fk_d50_iDA_Ctrl_rep3",50,"ctrl","iDA",3
"aa04340_yh_fk_d50_iN_GAA_rep3",50,"GAA","iN",3
"aa04341_yh_fk_d50_iN_TPP1_rep2",50,"TPP1","iN",2
"aa04342_yh_fk_d50_iDA_SMPD1_rep2",50,"SMPD1","iDA",2
"aa04343_yh_fk_d50_iDA_MFSD8_rep1",50,"MFSD8","iDA",1
"aa04344_yh_fk_d50_iN_HEXA_rep3",50,"HEXA","iN",3
"aa04345_yh_fk_d50_pool__17",50,NA,NA,NA
"aa04346_yh_fk_d50_iN_ATP13A2_rep2",50,"ATP13A2","iN",2
"aa04347_yh_fk_d50_iDA_PTT1_rep2",50,"PTT1","iDA",2
"aa04348_yh_fk_d50_iN_SMPD1_rep2",50,"SMPD1","iN",2
"aa04349_yh_fk_d50_iDA_HEXA_rep3",50,"HEXA","iDA",3
"aa04350_yh_fk_d50_iDA_TPP1_rep1",50,"TPP1","iDA",1
"aa04351_yh_fk_d50_iN_CLN3_rep2",50,"CLN3","iN",2
"aa04352_yh_fk_d50_iN_NPC1_rep2",50,"NPC1","iN",2
"aa04353_yh_fk_d50_iN_PTT1_rep1",50,"PTT1","iN",1
"aa04354_yh_fk_d50_iDA_LIPA_rep2",50,"LIPA","iDA",2
"aa04355_yh_fk_d50_pool__18",50,NA,NA,NA
"aa04356_yh_fk_d50_pool__19",50,NA,NA,NA
